,still,walking,rearing,grooming,licking hindpaw L,licking hindpaw R
still,0.0,0.8475849121010411,0.07714627069465779,0.049667178699436765,0.025089605734767026,0.0005120327700972862
walking,0.7495341614906832,0.0,0.16133540372670807,0.05822981366459627,0.030279503105590064,0.0006211180124223603
rearing,0.2214765100671141,0.4956855225311601,0.0,0.2794822627037392,0.0028763183125599234,0.00047938638542665386
grooming,0.19676375404530744,0.21877022653721684,0.3831715210355987,0.0,0.1948220064724919,0.006472491909385114
licking hindpaw L,0.41140215716486905,0.1386748844375963,0.007704160246533128,0.4422187981510015,0.0,0.0
licking hindpaw R,0.1111111111111111,0.3888888888888889,0.0,0.5,0.0,0.0
