PC1,PC2,Animal,Condition
0.8293197706756972,-0.4737246339822597,Female_Group4_5mgkg_3_2101.0F_L3_acA2040-120um__23701299__20230728_120753007DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.6145856687485088,-0.3504257801446176,Female_Group4_5mgkg_3_2101.1F_L4_acA2040-120um__23670846__20230728_120924235DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.6260715201962208,-0.2870606999291524,Female_Group4_5mgkg_3_2101.2_F_L1_acA2040-120um__23670847__20230728_123910637DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.7015701986252894,-0.368817938360649,Female_Group4_5mgkg_3_2101.3_F_L2_acA2040-120um__23701274__20230728_124240475DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.46930092203170115,-0.293740999390128,Female_Group4_5mgkg_3_2101.4F_L3_acA2040-120um__23701299__20230728_124329606DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.37777199203083267,-0.2713853919206835,Female_Group4_5mgkg_3_2102.0F_L4_acA2040-120um__23670846__20230728_124434198DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.33756018193691156,-0.282609800285543,Female_Group4_5mgkg_3_2102.1_F_L1_acA2040-120um__23670847__20230728_131510960DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.5237810955531599,-0.33919766038347016,Female_Group4_5mgkg_3_2102.2_F_L2_acA2040-120um__23701274__20230728_131927783DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.44873147556640236,-0.3036873297808397,Female_Group4_5mgkg_3_2102.3F_L3_acA2040-120um__23701299__20230728_132007903DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.7305977537453019,-0.39820882084369186,Female_Group4_5mgkg_3_2102.4F_L4_acA2040-120um__23670846__20230728_132125299DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.7625339333318155,-0.3828800474838908,Female_Group5_10mgkg_3_2105.0F_L3_acA2040-120um__23701299__20230728_150925744DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.8149986708069193,-0.42949480265383955,Female_Group5_10mgkg_3_2105.1F_L4_acA2040-120um__23670846__20230728_151037578DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
