File,Behavior,AvgDisplacement
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,still,3.1767821320432574
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,walking,6.916696050186103
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,rearing,4.04481570261669
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,grooming,4.586396827286962
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw L,8.653157546080122
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw R,3.1208840548877674
