File,Behavior,AvgDisplacement
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,still,2.874202609301166
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,walking,6.758432928975421
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,rearing,3.8419502975121542
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,grooming,3.636852092299521
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw L,11.867969441832377
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw R,2.9602285858623527
