group,condition,file_name,still_total_duration_s,still_average_duration_s,still_std_duration_s,walking_total_duration_s,walking_average_duration_s,walking_std_duration_s,rearing_total_duration_s,rearing_average_duration_s,rearing_std_duration_s,grooming_total_duration_s,grooming_average_duration_s,grooming_std_duration_s,licking hindpaw L_total_duration_s,licking hindpaw L_average_duration_s,licking hindpaw L_std_duration_s,licking hindpaw R_total_duration_s,licking hindpaw R_average_duration_s,licking hindpaw R_std_duration_s
Combined,1Per Formalin,2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,868.9,1.505892547660312,1.7512461348563033,574.3833333333332,0.9852201257861634,1.0633799349166624,171.4,1.1350993377483445,1.0035828976801657,186.89999999999995,2.365822784810126,2.8304799465971224,73.39999999999999,2.823076923076923,2.8227520249010256,0.0,0.0,0.0
Combined,1Per Formalin,2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,600.0,1.0526315789473684,1.2352860686025207,646.2,1.0389067524115756,0.8461359652507032,242.3,1.076888888888889,1.0252800641173823,305.7,2.024503311258278,3.3396467848172255,69.0,2.090909090909091,2.799498184075966,11.8,5.9,1.1
Combined,1Per Formalin,2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,522.5,0.9313725490196079,1.1136872027763924,537.5833333333333,0.8670698924731182,0.8713861976812046,540.5,1.403896103896104,1.4588059125546144,246.70000000000002,1.0964444444444446,1.7941350816920183,25.9,1.7266666666666666,1.4892802139139414,1.8,0.9,0.20000000000000007
Combined,1Per Formalin,2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,725.1,1.2394871794871796,1.3848372092016739,578.8,0.9810169491525423,1.109120425543049,377.4,1.5991525423728812,1.3516465641423956,134.00000000000003,1.5764705882352945,2.1477565345001026,59.50000000000001,1.9193548387096777,2.087353526611444,0.2,0.2,0.0
Combined,1Per Formalin,2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,344.7,0.9341463414634146,1.0385910772477527,431.3833333333333,0.9257153075822604,0.7790195811960078,584.3,1.4680904522613065,1.570683643321047,462.79999999999995,1.7140740740740739,2.6271985632626493,50.400000000000006,2.016,3.3826238336533963,1.4,1.4,0.0
Combined,1Per Formalin,2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,521.2,0.912784588441331,1.1482390938498592,802.4833333333333,1.1415125651967757,0.9653126686446121,249.7,0.8823321554770318,0.6060112909226548,258.7,1.383422459893048,2.617647441184636,40.9,1.0225,0.9660454181869504,2.0,1.0,0.10000000000000003
Combined,1Per Formalin,2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,488.40000000000003,0.8072727272727274,0.7921807957929431,793.5999999999999,1.1585401459854012,1.139229179884675,386.4,1.2794701986754966,1.1709405220016615,175.48333333333332,1.0262183235867446,1.7377464046919135,30.899999999999995,1.343478260869565,1.8696258837477577,0.2,0.2,0.0
Combined,1Per Formalin,2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,249.38333333333335,0.5719801223241591,0.5014458489828851,697.5,1.0441616766467066,0.993969263114484,609.1000000000001,1.0306260575296111,0.8716591220038046,287.6,0.7648936170212767,1.3899110217050334,29.8,1.49,2.030246290478079,1.6,0.26666666666666666,0.11055415967851333
Combined,1Per Formalin,2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,489.4,0.7426403641881638,0.9580200606830671,748.5,1.0281593406593406,0.9748434176298615,266.29999999999995,0.9718978102189779,0.8361661142256044,261.9,1.0912499999999998,1.8815016442990422,108.88333333333333,1.4713963963963963,1.6636132396197336,0.0,0.0,0.0
Combined,1Per Formalin,2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,459.6,0.7237795275590552,0.7328629321886561,816.8,1.0378653113087675,0.9430354715160414,279.40000000000003,0.791501416430595,0.6044089760567236,228.38333333333333,0.700562372188139,1.0795650320920838,90.8,0.9978021978021978,0.6923408329761858,0.0,0.0,0.0
Combined,5Per Formalin,2109.0M_L3_acA2040-120um__23701299__20230707_141704742DLC_resnet50_LUPE_MALEDec5shuffle1_350000,665.9833333333333,1.0899890889252593,1.3943121801089489,628.0,0.9874213836477987,0.840503154066402,237.8,1.100925925925926,0.9563138499981148,172.50000000000003,1.3582677165354333,2.193851140338754,170.7,1.9179775280898874,2.759806286873781,0.0,0.0,0.0
