Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
0-10 min,1,0.48803030303030304,21.636363636363637,1.3533613445378152
0-10 min,4,0.07833333333333334,4.636363636363637,1.0137254901960784
0-10 min,0,0.2287878787878788,19.181818181818183,0.7156398104265402
0-10 min,3,0.06696969696969697,4.636363636363637,0.8666666666666667
0-10 min,2,0.13787878787878788,7.181818181818182,1.1518987341772153
11-30 min,0,0.3456140350877193,22.526315789473685,0.9205607476635513
11-30 min,1,0.35736842105263156,23.05263157894737,0.9301369863013699
11-30 min,2,0.13087719298245615,8.210526315789474,0.9564102564102565
11-30 min,3,0.10350877192982456,6.2631578947368425,0.9915966386554622
11-30 min,4,0.0612280701754386,2.3684210526315788,1.551111111111111
11-30 min,5,0.0014035087719298245,0.21052631578947367,0.4
