mouse_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Combined_Control_1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2513,2070,1752,1590,1333,1212,1476,1038,1500,1374,845,1195,1038,1265,925,684,924,1002,1277,828,1219,827,1177,1049,955,924,210,1247,853,1235,859,42
Combined_Control_1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2712,1883,1909,1902,863,1471,773,1716,1477,1080,1344,624,1025,1459,725,1254,1182,828,1315,720,1218,1500,1157,1254,841,0,546,1242,642,456,528,180
Combined_Control_1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2069,1963,1991,1848,1422,1543,1200,1914,1355,1866,1291,996,1157,853,1217,1140,1693,1446,1896,1319,913,1104,1439,979,1157,1429,1116,1104,1632,839,1705,215
Combined_Control_1_2087.3M_L4_acA2040-120um__23670846__20230707_100419646DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2687,1710,1867,2705,2695,2195,2208,1777,1139,1848,1926,1914,2154,1968,883,1439,1596,1915,1613,475,1757,1806,696,1603,1841,1489,1535,1327,1037,2124,2083,565
Combined_Control_1_2087.4_M_L1_acA2040-120um__23670847__20230707_103354822DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2777,1818,1374,1596,1147,1217,1783,1385,613,714,1529,1387,648,1595,1309,1434,1482,1140,1404,1476,1008,552,612,774,1823,1153,1530,1217,979,528,144,0
Combined_Control_1_2089.0F_L3_acA2040-120um__23701299__20230707_111115126DLC_resnet50_LUPE_MALEDec5shuffle1_350000,3083,2599,1907,2250,2208,1765,1349,1315,2135,2017,1812,810,1692,2171,1501,1206,1103,859,1577,871,1266,618,2195,726,1735,696,689,1513,972,966,936,701
Combined_Control_1_2089.1F_L4_acA2040-120um__23670846__20230707_111227636DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2322,2327,1927,1596,1721,1195,1722,1494,1464,1578,1254,971,823,1517,1255,1445,913,1145,1320,1111,1014,1248,911,1417,906,570,1098,210,1056,1295,1668,655
Combined_Control_1_2089.2_F_L1_acA2040-120um__23670847__20230707_114240542DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2472,2244,1764,660,1679,1699,1104,1332,1674,1272,1482,629,1549,1362,876,930,905,949,1236,468,1512,995,733,953,990,967,648,360,828,1806,1002,96
Combined_Control_1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2363,1867,1187,1507,1865,1183,1788,1409,997,1487,1333,1188,1091,1363,1410,1565,1075,1536,1536,1146,1548,870,1295,1524,1165,660,762,480,1692,1248,954,305
Combined_Control_1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2825,2263,2250,1535,1807,900,1055,997,1392,612,1176,977,1128,703,750,858,1248,966,612,456,954,1193,1584,1272,1141,906,780,1152,1134,1415,679,30
