File,Behavior,AvgDisplacement
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,still,2.845630572264847
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,walking,6.63296265566715
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,rearing,3.6996943745753925
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,grooming,4.015643815516925
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw L,5.809217351679326
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw R,0.0
