mean_counts,std_counts,labels,colors
556.8,83.86989924877696,still,crimson
645.2,85.21126686066815,walking,darkcyan
319.8,115.45111519599973,rearing,goldenrod
211.0,91.675514724489,grooming,royalblue
37.8,23.608473055240147,licking hindpaw L,rebeccapurple
2.142857142857143,1.6413036132965795,licking hindpaw R,mediumorchid
