Condition,Behavior,MeanDisplacement,MedianDisplacement,StdDisplacement,Count
1Per Formalin,still,3.2304459351937704,2.931785457671334,1.8991622294602513,5568
1Per Formalin,walking,6.420581623869179,6.08703646262323,3.1402719080875023,6452
1Per Formalin,rearing,3.7326422117682583,3.361023687162894,1.719609812393697,3198
1Per Formalin,grooming,4.518245107465586,3.4406195465151197,5.020290684428292,2110
1Per Formalin,licking hindpaw L,8.336073138231832,5.7621016376667775,9.139637234544836,378
1Per Formalin,licking hindpaw R,3.1316058732552947,3.4305112225174836,0.6407816227657341,15
