Condition,Behavior,MeanDisplacement,MedianDisplacement,StdDisplacement,Count
Control,still,3.0628734027233264,2.8212662925950958,2.865090029901872,4807
Control,walking,6.861405350311591,6.63487619250154,3.4854685110163666,6485
Control,rearing,3.484467152387905,3.142285316864119,1.7980936481393792,4689
Control,grooming,3.45549562434013,3.1043249760016045,2.5153331181202314,2336
Control,licking hindpaw L,5.925332377733158,4.970183884072192,3.6934350315616125,45
Control,licking hindpaw R,3.00560090095741,3.0277418750279654,0.47008907165189734,19
