time_seconds,behavior,behavior_label
0.0,0,still
0.016666666666666666,0,still
0.03333333333333333,0,still
0.05,0,still
0.06666666666666667,0,still
0.08333333333333333,0,still
0.1,0,still
0.11666666666666667,0,still
0.13333333333333333,0,still
0.15,0,still
0.16666666666666666,0,still
0.18333333333333332,0,still
0.2,0,still
0.21666666666666667,0,still
0.23333333333333334,0,still
0.25,0,still
0.26666666666666666,0,still
0.2833333333333333,0,still
0.3,0,still
0.31666666666666665,0,still
0.3333333333333333,0,still
0.35,0,still
0.36666666666666664,0,still
0.38333333333333336,0,still
0.4,1,walking
0.4166666666666667,1,walking
0.43333333333333335,1,walking
0.45,1,walking
0.4666666666666667,1,walking
0.48333333333333334,1,walking
0.5,1,walking
0.5166666666666667,1,walking
0.5333333333333333,1,walking
0.55,1,walking
0.5666666666666667,1,walking
0.5833333333333334,1,walking
0.6,1,walking
0.6166666666666667,1,walking
0.6333333333333333,1,walking
0.65,1,walking
0.6666666666666666,1,walking
0.6833333333333333,1,walking
0.7,1,walking
0.7166666666666667,1,walking
0.7333333333333333,1,walking
0.75,1,walking
0.7666666666666667,1,walking
0.7833333333333333,1,walking
0.8,1,walking
0.8166666666666667,1,walking
0.8333333333333334,1,walking
0.85,1,walking
0.8666666666666667,1,walking
0.8833333333333333,1,walking
0.9,1,walking
0.9166666666666666,1,walking
0.9333333333333333,1,walking
0.95,1,walking
0.9666666666666667,1,walking
0.9833333333333333,1,walking
1.0,1,walking
1.0166666666666666,1,walking
1.0333333333333334,1,walking
1.05,1,walking
1.0666666666666667,1,walking
1.0833333333333333,1,walking
1.1,1,walking
1.1166666666666667,1,walking
1.1333333333333333,1,walking
1.15,1,walking
1.1666666666666667,1,walking
1.1833333333333333,1,walking
1.2,1,walking
1.2166666666666666,1,walking
1.2333333333333334,1,walking
1.25,1,walking
1.2666666666666666,1,walking
1.2833333333333334,1,walking
1.3,1,walking
1.3166666666666667,1,walking
1.3333333333333333,1,walking
1.35,1,walking
1.3666666666666667,1,walking
1.3833333333333333,1,walking
1.4,1,walking
1.4166666666666667,1,walking
1.4333333333333333,1,walking
1.45,1,walking
1.4666666666666666,1,walking
1.4833333333333334,1,walking
1.5,1,walking
1.5166666666666666,1,walking
1.5333333333333334,1,walking
1.55,1,walking
1.5666666666666667,1,walking
1.5833333333333333,1,walking
1.6,1,walking
1.6166666666666667,1,walking
1.6333333333333333,1,walking
1.65,1,walking
1.6666666666666667,1,walking
1.6833333333333333,1,walking
1.7,1,walking
1.7166666666666666,1,walking
1.7333333333333334,1,walking
1.75,1,walking
1.7666666666666666,1,walking
1.7833333333333334,1,walking
1.8,1,walking
1.8166666666666667,1,walking
1.8333333333333333,1,walking
1.85,1,walking
1.8666666666666667,1,walking
1.8833333333333333,1,walking
1.9,1,walking
1.9166666666666667,1,walking
1.9333333333333333,1,walking
1.95,1,walking
1.9666666666666666,1,walking
1.9833333333333334,1,walking
2.0,1,walking
2.0166666666666666,1,walking
2.033333333333333,1,walking
2.05,1,walking
2.066666666666667,1,walking
2.0833333333333335,1,walking
2.1,1,walking
2.1166666666666667,1,walking
2.1333333333333333,1,walking
2.15,1,walking
2.1666666666666665,1,walking
2.183333333333333,1,walking
2.2,1,walking
2.216666666666667,1,walking
2.2333333333333334,1,walking
2.25,1,walking
2.2666666666666666,1,walking
2.283333333333333,1,walking
2.3,1,walking
2.316666666666667,1,walking
2.3333333333333335,1,walking
2.35,1,walking
2.3666666666666667,1,walking
2.3833333333333333,1,walking
2.4,1,walking
2.4166666666666665,1,walking
2.433333333333333,1,walking
2.45,1,walking
2.466666666666667,1,walking
2.4833333333333334,1,walking
2.5,1,walking
2.5166666666666666,1,walking
2.533333333333333,1,walking
2.55,1,walking
2.566666666666667,1,walking
2.5833333333333335,1,walking
2.6,1,walking
2.6166666666666667,1,walking
2.6333333333333333,1,walking
2.65,1,walking
2.6666666666666665,1,walking
2.683333333333333,1,walking
2.7,1,walking
2.716666666666667,1,walking
2.7333333333333334,1,walking
2.75,1,walking
2.7666666666666666,1,walking
2.783333333333333,1,walking
2.8,1,walking
2.816666666666667,1,walking
2.8333333333333335,1,walking
2.85,1,walking
2.8666666666666667,1,walking
2.8833333333333333,1,walking
2.9,1,walking
2.9166666666666665,1,walking
2.933333333333333,1,walking
2.95,1,walking
2.966666666666667,1,walking
2.9833333333333334,1,walking
3.0,1,walking
3.0166666666666666,1,walking
3.033333333333333,1,walking
3.05,1,walking
3.066666666666667,1,walking
3.0833333333333335,1,walking
3.1,1,walking
3.1166666666666667,1,walking
3.1333333333333333,1,walking
3.15,1,walking
3.1666666666666665,1,walking
3.183333333333333,1,walking
3.2,1,walking
3.216666666666667,1,walking
3.2333333333333334,1,walking
3.25,1,walking
3.2666666666666666,1,walking
3.283333333333333,1,walking
3.3,1,walking
3.316666666666667,1,walking
3.3333333333333335,1,walking
3.35,1,walking
3.3666666666666667,1,walking
3.3833333333333333,1,walking
3.4,1,walking
3.4166666666666665,1,walking
3.433333333333333,1,walking
3.45,1,walking
3.466666666666667,1,walking
3.4833333333333334,1,walking
3.5,1,walking
3.5166666666666666,1,walking
3.533333333333333,1,walking
3.55,1,walking
3.566666666666667,1,walking
3.5833333333333335,1,walking
3.6,1,walking
3.6166666666666667,1,walking
3.6333333333333333,1,walking
3.65,1,walking
3.6666666666666665,1,walking
3.683333333333333,1,walking
3.7,1,walking
3.716666666666667,1,walking
3.7333333333333334,1,walking
3.75,1,walking
3.7666666666666666,1,walking
3.783333333333333,1,walking
3.8,1,walking
3.816666666666667,1,walking
3.8333333333333335,1,walking
3.85,1,walking
3.8666666666666667,1,walking
3.8833333333333333,1,walking
3.9,1,walking
3.9166666666666665,1,walking
3.933333333333333,1,walking
3.95,1,walking
3.966666666666667,1,walking
3.9833333333333334,1,walking
4.0,1,walking
4.016666666666667,1,walking
4.033333333333333,1,walking
4.05,1,walking
4.066666666666666,1,walking
4.083333333333333,1,walking
4.1,1,walking
4.116666666666666,1,walking
4.133333333333334,1,walking
4.15,1,walking
4.166666666666667,1,walking
4.183333333333334,1,walking
4.2,1,walking
4.216666666666667,1,walking
4.233333333333333,1,walking
4.25,1,walking
4.266666666666667,1,walking
4.283333333333333,1,walking
4.3,1,walking
4.316666666666666,1,walking
4.333333333333333,1,walking
4.35,1,walking
4.366666666666666,1,walking
4.383333333333334,1,walking
4.4,1,walking
4.416666666666667,1,walking
4.433333333333334,1,walking
4.45,1,walking
4.466666666666667,1,walking
4.483333333333333,1,walking
4.5,1,walking
4.516666666666667,1,walking
4.533333333333333,1,walking
4.55,1,walking
4.566666666666666,1,walking
4.583333333333333,1,walking
4.6,1,walking
4.616666666666666,1,walking
4.633333333333334,1,walking
4.65,1,walking
4.666666666666667,1,walking
4.683333333333334,1,walking
4.7,1,walking
4.716666666666667,1,walking
4.733333333333333,1,walking
4.75,1,walking
4.766666666666667,1,walking
4.783333333333333,1,walking
4.8,1,walking
4.816666666666666,1,walking
4.833333333333333,1,walking
4.85,1,walking
4.866666666666666,1,walking
4.883333333333334,1,walking
4.9,1,walking
4.916666666666667,1,walking
4.933333333333334,1,walking
4.95,1,walking
4.966666666666667,1,walking
4.983333333333333,1,walking
5.0,1,walking
5.016666666666667,1,walking
5.033333333333333,1,walking
5.05,1,walking
5.066666666666666,1,walking
5.083333333333333,1,walking
5.1,1,walking
5.116666666666666,1,walking
5.133333333333334,1,walking
5.15,1,walking
5.166666666666667,1,walking
5.183333333333334,1,walking
5.2,2,rearing
5.216666666666667,2,rearing
5.233333333333333,2,rearing
5.25,2,rearing
5.266666666666667,2,rearing
5.283333333333333,2,rearing
5.3,2,rearing
5.316666666666666,2,rearing
5.333333333333333,2,rearing
5.35,2,rearing
5.366666666666666,2,rearing
5.383333333333334,2,rearing
5.4,2,rearing
5.416666666666667,2,rearing
5.433333333333334,2,rearing
5.45,2,rearing
5.466666666666667,2,rearing
5.483333333333333,2,rearing
5.5,2,rearing
5.516666666666667,2,rearing
