mean_counts,std_counts,labels,colors
480.7,130.8426918096689,still,crimson
648.5,65.5290012132033,walking,darkcyan
468.9,166.00087349167774,rearing,goldenrod
233.6,121.63568555321255,grooming,royalblue
6.428571428571429,7.669180303696885,licking hindpaw L,rebeccapurple
2.7142857142857144,2.1852940772540506,licking hindpaw R,mediumorchid
