mean_counts,std_counts,labels,colors
586.4,89.98022004863068,still,crimson
644.2,93.9689310357418,walking,darkcyan
208.8,124.92221579847197,rearing,goldenrod
154.6,68.12077509835014,grooming,royalblue
64.9,26.879174094454616,licking hindpaw L,rebeccapurple
3.6,2.0591260281974,licking hindpaw R,mediumorchid
