frame,behavior,behavior_label
1,2,rearing
2,2,rearing
3,2,rearing
4,2,rearing
5,2,rearing
6,2,rearing
7,2,rearing
8,2,rearing
9,2,rearing
10,2,rearing
11,2,rearing
12,2,rearing
13,2,rearing
14,2,rearing
15,2,rearing
16,2,rearing
17,2,rearing
18,2,rearing
19,2,rearing
20,2,rearing
21,2,rearing
22,2,rearing
23,2,rearing
24,2,rearing
25,2,rearing
26,2,rearing
27,2,rearing
28,2,rearing
29,2,rearing
30,2,rearing
31,2,rearing
32,2,rearing
33,2,rearing
34,2,rearing
35,2,rearing
36,2,rearing
37,3,grooming
38,3,grooming
39,3,grooming
40,3,grooming
41,3,grooming
42,3,grooming
43,3,grooming
44,3,grooming
45,3,grooming
46,3,grooming
47,3,grooming
48,3,grooming
49,3,grooming
50,3,grooming
51,3,grooming
52,3,grooming
53,3,grooming
54,3,grooming
55,3,grooming
56,3,grooming
57,3,grooming
58,3,grooming
59,3,grooming
60,3,grooming
61,3,grooming
62,3,grooming
63,3,grooming
64,3,grooming
65,3,grooming
66,3,grooming
67,3,grooming
68,3,grooming
69,3,grooming
70,3,grooming
71,3,grooming
72,3,grooming
73,3,grooming
74,3,grooming
75,3,grooming
76,3,grooming
77,3,grooming
78,3,grooming
79,3,grooming
80,3,grooming
81,3,grooming
82,3,grooming
83,3,grooming
84,3,grooming
85,3,grooming
86,3,grooming
87,3,grooming
88,3,grooming
89,3,grooming
90,3,grooming
91,3,grooming
92,3,grooming
93,3,grooming
94,3,grooming
95,3,grooming
96,3,grooming
97,3,grooming
98,3,grooming
99,3,grooming
100,3,grooming
101,3,grooming
102,3,grooming
103,3,grooming
104,3,grooming
105,3,grooming
106,3,grooming
107,3,grooming
108,3,grooming
109,3,grooming
110,3,grooming
111,3,grooming
112,3,grooming
113,3,grooming
114,3,grooming
115,3,grooming
116,3,grooming
117,3,grooming
118,3,grooming
119,3,grooming
120,3,grooming
121,3,grooming
122,3,grooming
123,3,grooming
124,3,grooming
125,3,grooming
126,3,grooming
127,3,grooming
128,3,grooming
129,3,grooming
130,3,grooming
131,3,grooming
132,3,grooming
133,3,grooming
134,3,grooming
135,3,grooming
136,3,grooming
137,3,grooming
138,3,grooming
139,3,grooming
140,3,grooming
141,3,grooming
142,3,grooming
143,3,grooming
144,3,grooming
145,3,grooming
146,3,grooming
147,3,grooming
148,3,grooming
149,3,grooming
150,3,grooming
151,3,grooming
152,3,grooming
153,3,grooming
154,3,grooming
155,3,grooming
156,3,grooming
157,3,grooming
158,3,grooming
159,3,grooming
160,3,grooming
161,3,grooming
162,3,grooming
163,3,grooming
164,3,grooming
165,3,grooming
166,3,grooming
167,3,grooming
168,3,grooming
169,3,grooming
170,3,grooming
171,3,grooming
172,3,grooming
173,3,grooming
174,3,grooming
175,2,rearing
176,2,rearing
177,2,rearing
178,2,rearing
179,2,rearing
180,2,rearing
181,2,rearing
182,2,rearing
183,2,rearing
184,2,rearing
185,2,rearing
186,2,rearing
187,3,grooming
188,3,grooming
189,3,grooming
190,3,grooming
191,3,grooming
192,3,grooming
193,3,grooming
194,3,grooming
195,3,grooming
196,3,grooming
197,3,grooming
198,3,grooming
199,1,walking
200,1,walking
201,1,walking
202,1,walking
203,1,walking
204,1,walking
205,1,walking
206,1,walking
207,1,walking
208,1,walking
209,1,walking
210,1,walking
211,1,walking
212,1,walking
213,1,walking
214,1,walking
215,1,walking
