frame,behavior,behavior_label
55817,1,walking
55818,1,walking
55819,1,walking
55820,1,walking
55821,1,walking
55822,1,walking
55823,1,walking
55824,1,walking
55825,1,walking
55826,1,walking
55827,1,walking
55828,1,walking
55829,1,walking
55830,1,walking
55831,1,walking
55832,1,walking
55833,1,walking
55834,1,walking
55835,1,walking
55836,1,walking
55837,1,walking
55838,1,walking
55839,1,walking
55840,1,walking
55841,1,walking
55842,1,walking
55843,1,walking
55844,1,walking
55845,1,walking
55846,1,walking
55847,1,walking
55848,1,walking
55849,1,walking
55850,1,walking
55851,1,walking
55852,1,walking
55853,1,walking
55854,1,walking
55855,0,still
55856,0,still
55857,0,still
55858,0,still
55859,0,still
55860,0,still
55861,0,still
55862,0,still
55863,0,still
55864,0,still
55865,0,still
55866,0,still
55867,0,still
55868,0,still
55869,0,still
55870,0,still
55871,0,still
55872,0,still
55873,0,still
55874,0,still
55875,0,still
55876,0,still
55877,0,still
55878,0,still
55879,0,still
55880,0,still
55881,0,still
55882,0,still
55883,0,still
55884,0,still
55885,0,still
55886,0,still
55887,0,still
55888,0,still
55889,0,still
55890,0,still
55891,0,still
55892,0,still
55893,0,still
55894,0,still
55895,0,still
55896,0,still
55897,0,still
55898,0,still
55899,0,still
55900,0,still
55901,0,still
55902,0,still
55903,0,still
55904,0,still
55905,0,still
55906,0,still
55907,0,still
55908,0,still
55909,0,still
55910,0,still
55911,0,still
55912,0,still
55913,0,still
55914,0,still
55915,0,still
55916,0,still
55917,0,still
55918,0,still
55919,0,still
55920,0,still
55921,0,still
55922,0,still
55923,0,still
55924,0,still
55925,0,still
55926,0,still
55927,0,still
55928,0,still
55929,0,still
55930,0,still
55931,0,still
55932,0,still
55933,1,walking
55934,1,walking
55935,1,walking
55936,1,walking
55937,1,walking
55938,1,walking
55939,1,walking
55940,1,walking
55941,1,walking
55942,1,walking
55943,1,walking
55944,1,walking
55945,1,walking
55946,1,walking
55947,1,walking
55948,1,walking
55949,1,walking
55950,1,walking
55951,1,walking
55952,1,walking
55953,1,walking
55954,1,walking
55955,1,walking
55956,1,walking
55957,1,walking
55958,1,walking
55959,1,walking
55960,1,walking
55961,1,walking
55962,1,walking
55963,1,walking
55964,1,walking
55965,1,walking
55966,1,walking
55967,1,walking
55968,1,walking
55969,1,walking
55970,1,walking
55971,1,walking
55972,1,walking
55973,1,walking
55974,1,walking
55975,1,walking
55976,1,walking
55977,1,walking
55978,1,walking
55979,1,walking
55980,1,walking
55981,1,walking
55982,1,walking
55983,1,walking
55984,1,walking
55985,1,walking
55986,1,walking
55987,1,walking
55988,1,walking
55989,1,walking
55990,1,walking
55991,1,walking
55992,1,walking
55993,0,still
55994,0,still
55995,0,still
55996,0,still
55997,0,still
55998,0,still
55999,0,still
56000,0,still
56001,0,still
56002,0,still
56003,0,still
56004,0,still
56005,0,still
56006,0,still
56007,0,still
56008,0,still
56009,0,still
56010,0,still
56011,0,still
56012,0,still
56013,0,still
56014,0,still
56015,0,still
56016,0,still
56017,0,still
56018,0,still
56019,0,still
56020,0,still
56021,0,still
56022,0,still
56023,0,still
56024,0,still
56025,0,still
56026,0,still
56027,0,still
56028,0,still
56029,0,still
56030,0,still
56031,0,still
56032,0,still
56033,0,still
56034,0,still
56035,0,still
56036,0,still
56037,0,still
56038,0,still
56039,0,still
56040,0,still
56041,1,walking
56042,1,walking
56043,1,walking
56044,1,walking
56045,1,walking
56046,1,walking
56047,1,walking
56048,1,walking
56049,1,walking
56050,1,walking
56051,1,walking
56052,1,walking
56053,1,walking
56054,1,walking
56055,1,walking
56056,1,walking
56057,1,walking
56058,1,walking
56059,1,walking
56060,1,walking
56061,1,walking
56062,1,walking
56063,1,walking
56064,1,walking
56065,1,walking
56066,1,walking
56067,1,walking
56068,1,walking
56069,1,walking
56070,1,walking
56071,1,walking
56072,1,walking
56073,1,walking
56074,1,walking
56075,1,walking
56076,1,walking
56077,1,walking
56078,1,walking
56079,1,walking
56080,1,walking
56081,1,walking
56082,1,walking
56083,1,walking
56084,1,walking
56085,1,walking
56086,1,walking
56087,1,walking
56088,1,walking
56089,1,walking
56090,1,walking
56091,1,walking
56092,1,walking
56093,1,walking
56094,1,walking
56095,1,walking
56096,1,walking
56097,1,walking
56098,1,walking
56099,1,walking
56100,1,walking
56101,1,walking
56102,1,walking
56103,1,walking
56104,1,walking
56105,1,walking
56106,1,walking
56107,1,walking
56108,1,walking
56109,1,walking
56110,1,walking
56111,1,walking
56112,1,walking
56113,1,walking
56114,1,walking
56115,1,walking
56116,1,walking
56117,1,walking
56118,1,walking
56119,0,still
56120,0,still
56121,0,still
56122,0,still
56123,0,still
56124,0,still
56125,0,still
56126,0,still
56127,0,still
56128,0,still
56129,0,still
56130,0,still
56131,0,still
56132,0,still
56133,0,still
56134,0,still
56135,0,still
56136,0,still
56137,0,still
56138,0,still
56139,0,still
56140,0,still
56141,0,still
56142,0,still
56143,0,still
56144,0,still
56145,0,still
56146,0,still
56147,0,still
56148,0,still
56149,0,still
56150,0,still
56151,0,still
56152,0,still
56153,0,still
56154,0,still
56155,1,walking
56156,1,walking
56157,1,walking
56158,1,walking
56159,1,walking
56160,1,walking
56161,1,walking
56162,1,walking
56163,1,walking
56164,1,walking
56165,1,walking
56166,1,walking
56167,1,walking
56168,1,walking
56169,1,walking
56170,1,walking
56171,1,walking
56172,1,walking
56173,1,walking
56174,1,walking
56175,1,walking
56176,1,walking
56177,1,walking
56178,1,walking
56179,1,walking
56180,1,walking
56181,1,walking
56182,1,walking
56183,1,walking
56184,1,walking
56185,1,walking
56186,1,walking
56187,1,walking
56188,1,walking
56189,1,walking
56190,1,walking
56191,1,walking
56192,1,walking
56193,1,walking
56194,1,walking
56195,1,walking
56196,1,walking
56197,1,walking
56198,1,walking
56199,1,walking
56200,1,walking
56201,1,walking
56202,1,walking
56203,1,walking
56204,1,walking
56205,1,walking
56206,1,walking
56207,1,walking
56208,1,walking
56209,1,walking
56210,1,walking
56211,1,walking
56212,1,walking
56213,1,walking
56214,1,walking
56215,2,rearing
56216,2,rearing
56217,2,rearing
56218,2,rearing
56219,2,rearing
56220,2,rearing
56221,2,rearing
56222,2,rearing
56223,2,rearing
56224,2,rearing
56225,2,rearing
56226,2,rearing
56227,2,rearing
56228,2,rearing
56229,2,rearing
56230,2,rearing
56231,2,rearing
56232,2,rearing
56233,3,grooming
56234,3,grooming
56235,3,grooming
56236,3,grooming
56237,3,grooming
56238,3,grooming
56239,3,grooming
56240,3,grooming
56241,3,grooming
56242,3,grooming
56243,3,grooming
56244,3,grooming
56245,2,rearing
56246,2,rearing
56247,2,rearing
56248,2,rearing
56249,2,rearing
56250,2,rearing
56251,2,rearing
56252,2,rearing
56253,2,rearing
56254,2,rearing
56255,2,rearing
56256,2,rearing
56257,2,rearing
56258,2,rearing
56259,2,rearing
56260,2,rearing
56261,2,rearing
56262,2,rearing
56263,2,rearing
56264,2,rearing
56265,2,rearing
56266,2,rearing
56267,2,rearing
56268,2,rearing
56269,2,rearing
56270,2,rearing
56271,2,rearing
56272,2,rearing
56273,2,rearing
56274,2,rearing
56275,2,rearing
56276,2,rearing
56277,2,rearing
56278,2,rearing
56279,2,rearing
56280,2,rearing
56281,2,rearing
56282,2,rearing
56283,2,rearing
56284,2,rearing
56285,2,rearing
56286,2,rearing
56287,2,rearing
56288,2,rearing
56289,2,rearing
56290,2,rearing
56291,2,rearing
56292,2,rearing
56293,2,rearing
56294,2,rearing
56295,2,rearing
56296,2,rearing
56297,2,rearing
56298,2,rearing
56299,2,rearing
56300,2,rearing
56301,2,rearing
56302,2,rearing
56303,2,rearing
56304,2,rearing
56305,2,rearing
56306,2,rearing
56307,2,rearing
56308,2,rearing
56309,2,rearing
56310,2,rearing
56311,2,rearing
56312,2,rearing
56313,2,rearing
56314,2,rearing
56315,2,rearing
56316,2,rearing
56317,2,rearing
56318,2,rearing
56319,2,rearing
56320,2,rearing
56321,2,rearing
56322,2,rearing
56323,2,rearing
56324,2,rearing
56325,2,rearing
56326,2,rearing
56327,2,rearing
56328,2,rearing
56329,2,rearing
56330,2,rearing
56331,2,rearing
56332,2,rearing
56333,2,rearing
56334,2,rearing
56335,2,rearing
56336,2,rearing
56337,2,rearing
56338,2,rearing
56339,2,rearing
56340,2,rearing
56341,2,rearing
56342,2,rearing
56343,2,rearing
56344,2,rearing
56345,2,rearing
56346,2,rearing
56347,2,rearing
56348,2,rearing
56349,2,rearing
56350,2,rearing
56351,2,rearing
56352,2,rearing
56353,1,walking
56354,1,walking
56355,1,walking
56356,1,walking
56357,1,walking
56358,1,walking
56359,1,walking
56360,1,walking
56361,1,walking
56362,1,walking
56363,1,walking
56364,1,walking
56365,1,walking
56366,1,walking
56367,1,walking
56368,1,walking
56369,1,walking
56370,1,walking
56371,1,walking
56372,1,walking
56373,1,walking
56374,1,walking
56375,1,walking
56376,1,walking
56377,1,walking
56378,1,walking
56379,1,walking
56380,1,walking
56381,1,walking
56382,1,walking
56383,1,walking
56384,1,walking
56385,1,walking
56386,1,walking
56387,1,walking
56388,1,walking
56389,1,walking
56390,1,walking
56391,1,walking
56392,1,walking
56393,1,walking
56394,1,walking
56395,0,still
56396,0,still
56397,0,still
