frame,behavior,behavior_label
33402,1,walking
33403,1,walking
33404,1,walking
33405,1,walking
33406,1,walking
33407,1,walking
33408,1,walking
33409,1,walking
33410,1,walking
33411,1,walking
33412,1,walking
33413,1,walking
33414,1,walking
33415,1,walking
33416,1,walking
33417,1,walking
33418,1,walking
33419,1,walking
33420,1,walking
33421,1,walking
33422,1,walking
33423,1,walking
33424,1,walking
33425,1,walking
33426,1,walking
33427,0,still
33428,0,still
33429,0,still
33430,0,still
33431,0,still
33432,0,still
33433,0,still
33434,0,still
33435,0,still
33436,0,still
33437,0,still
33438,0,still
33439,1,walking
33440,1,walking
33441,1,walking
33442,1,walking
33443,1,walking
33444,1,walking
33445,1,walking
33446,1,walking
33447,1,walking
33448,1,walking
33449,1,walking
33450,1,walking
33451,1,walking
33452,1,walking
33453,1,walking
33454,1,walking
33455,1,walking
33456,1,walking
33457,1,walking
33458,1,walking
33459,1,walking
33460,1,walking
33461,1,walking
33462,1,walking
33463,0,still
33464,0,still
33465,0,still
33466,0,still
33467,0,still
33468,0,still
33469,0,still
33470,0,still
33471,0,still
33472,0,still
33473,0,still
33474,0,still
33475,0,still
33476,0,still
33477,0,still
33478,0,still
33479,0,still
33480,0,still
33481,1,walking
33482,1,walking
33483,1,walking
33484,1,walking
33485,1,walking
33486,1,walking
33487,1,walking
33488,1,walking
33489,1,walking
33490,1,walking
33491,1,walking
33492,1,walking
33493,1,walking
33494,1,walking
33495,1,walking
33496,1,walking
33497,1,walking
33498,1,walking
33499,1,walking
33500,1,walking
33501,1,walking
33502,1,walking
33503,1,walking
33504,1,walking
33505,1,walking
33506,1,walking
33507,1,walking
33508,1,walking
33509,1,walking
33510,1,walking
33511,1,walking
33512,1,walking
33513,1,walking
33514,1,walking
33515,1,walking
33516,1,walking
33517,1,walking
33518,1,walking
33519,1,walking
33520,1,walking
33521,1,walking
33522,1,walking
33523,1,walking
33524,1,walking
33525,1,walking
33526,1,walking
33527,1,walking
33528,1,walking
33529,1,walking
33530,1,walking
33531,1,walking
33532,1,walking
33533,1,walking
33534,1,walking
33535,1,walking
33536,1,walking
33537,1,walking
33538,1,walking
33539,1,walking
33540,1,walking
33541,1,walking
33542,1,walking
33543,1,walking
33544,1,walking
33545,1,walking
33546,1,walking
33547,1,walking
33548,1,walking
33549,1,walking
33550,1,walking
33551,1,walking
33552,1,walking
33553,1,walking
33554,1,walking
33555,1,walking
33556,1,walking
33557,1,walking
33558,1,walking
33559,1,walking
33560,1,walking
33561,1,walking
33562,1,walking
33563,1,walking
33564,1,walking
33565,1,walking
33566,1,walking
33567,1,walking
33568,1,walking
33569,1,walking
33570,1,walking
33571,1,walking
33572,1,walking
33573,1,walking
33574,1,walking
33575,1,walking
33576,1,walking
33577,1,walking
33578,1,walking
33579,1,walking
33580,1,walking
33581,1,walking
33582,1,walking
33583,1,walking
33584,1,walking
33585,1,walking
33586,1,walking
33587,1,walking
33588,1,walking
33589,1,walking
33590,1,walking
33591,1,walking
33592,1,walking
33593,1,walking
33594,1,walking
33595,1,walking
33596,1,walking
33597,1,walking
33598,1,walking
33599,1,walking
33600,1,walking
33601,1,walking
33602,1,walking
33603,1,walking
33604,1,walking
33605,1,walking
33606,1,walking
33607,1,walking
33608,1,walking
33609,1,walking
33610,1,walking
33611,1,walking
33612,1,walking
33613,1,walking
33614,1,walking
33615,1,walking
33616,1,walking
33617,1,walking
33618,1,walking
33619,1,walking
33620,1,walking
33621,1,walking
33622,1,walking
33623,1,walking
33624,1,walking
33625,1,walking
33626,1,walking
33627,1,walking
33628,1,walking
33629,1,walking
33630,1,walking
33631,1,walking
33632,1,walking
33633,1,walking
33634,1,walking
33635,1,walking
33636,1,walking
33637,1,walking
