Time_bin,still,still_SEM,walking,walking_SEM,rearing,rearing_SEM,grooming,grooming_SEM,licking hindpaw L,licking hindpaw L_SEM,licking hindpaw R,licking hindpaw R_SEM
0,0.07150000000000001,0.016359587742700337,0.7175,0.024407705978053553,0.20433333333333334,0.021108450124693347,0.006666666666666666,0.002516611478423583,0.0,0.0,0.0,0.0
1,0.17216666666666666,0.03423371470089424,0.5761666666666666,0.023128926093146263,0.194,0.021710468545023263,0.057166666666666664,0.017568990991074142,0.0005,0.00047434164902525685,0.0,0.0
2,0.20383333333333337,0.035940575955318244,0.49800000000000005,0.025489431361078084,0.2455,0.0300352108181196,0.052666666666666674,0.018766400234935247,0.0,0.0,0.0,0.0
3,0.19366666666666665,0.026404755463952153,0.47750000000000004,0.04438796758882599,0.29016666666666663,0.04051299517164557,0.03833333333333334,0.01658144880414388,0.0,0.0,0.0003333333333333334,0.000316227766016838
4,0.24050000000000002,0.03132362438231636,0.465,0.043898873688411534,0.25016666666666665,0.037036356012257285,0.04433333333333332,0.010934654391733953,0.0,0.0,0.0,0.0
5,0.20916666666666664,0.02285977787390867,0.39933333333333326,0.0313565516811612,0.21916666666666668,0.03842181816508832,0.17116666666666666,0.0491375902723951,0.0011666666666666668,0.001106797181058933,0.0,0.0
6,0.21766666666666667,0.04137444192305732,0.40166666666666667,0.03598224870991558,0.3225,0.041751413815050084,0.058166666666666665,0.02137554417760841,0.0,0.0,0.0,0.0
7,0.18850000000000003,0.03007439848848925,0.3993333333333334,0.02494905921183313,0.29933333333333334,0.04418031235742907,0.11283333333333331,0.023819984606768048,0.0,0.0,0.0,0.0
8,0.277,0.039055373794424524,0.38183333333333336,0.03383821803818871,0.23933333333333334,0.03229740271635201,0.10183333333333333,0.02828765926453913,0.0,0.0,0.0,0.0
9,0.24933333333333332,0.03661299101563694,0.38466666666666666,0.03972740447935992,0.2811666666666667,0.03922516907406377,0.0655,0.015231637396477692,0.019333333333333334,0.018341210428976597,0.0,0.0
10,0.209,0.033708884420711537,0.38866666666666666,0.025884143580363807,0.29833333333333334,0.0461976430375211,0.09033333333333332,0.028100810585382684,0.013166666666666665,0.012490996757665098,0.0005,0.0004743416490252568
11,0.20399999999999996,0.0327839730491728,0.297,0.03197638017175941,0.31516666666666665,0.0427417633390731,0.183,0.04157643563366152,0.0,0.0,0.0008333333333333333,0.0007905694150420948
12,0.19783333333333336,0.02954568026331806,0.3418333333333333,0.037129241246698745,0.2824999999999999,0.05131506709642998,0.143,0.031581288412250975,0.034833333333333334,0.026502043946332397,0.0,0.0
13,0.22466666666666665,0.046375759951844564,0.396,0.037019664444124224,0.261,0.0363900169460435,0.08983333333333333,0.02586122150591069,0.028166666666666666,0.024361228303278235,0.0003333333333333334,0.000316227766016838
14,0.22383333333333338,0.0323745870844539,0.30133333333333334,0.023664084366163185,0.3185,0.05788611904228662,0.13966666666666666,0.04307216167214167,0.016,0.015178932768808218,0.0006666666666666668,0.0006324555320336759
