Time_bin,still,still_SEM,walking,walking_SEM,rearing,rearing_SEM,grooming,grooming_SEM,licking hindpaw L,licking hindpaw L_SEM,licking hindpaw R,licking hindpaw R_SEM
0,0.0885,0.011191390540152828,0.6315,0.04490573460038261,0.041999999999999996,0.0077595818902252145,0.08983333333333333,0.013622795438365634,0.14816666666666667,0.031892571409516526,0.0,0.0
1,0.16766666666666666,0.018998830373356024,0.4426666666666666,0.035475500153079036,0.05583333333333333,0.013567219480956459,0.10133333333333332,0.011471704319759989,0.2325,0.042807222910781456,0.0,0.0
2,0.27166666666666667,0.05128515054737255,0.4873333333333333,0.04517509146519671,0.10616666666666667,0.01692475176249927,0.0795,0.04679627834205052,0.05533333333333333,0.03141991583551921,0.0,0.0
3,0.3486666666666666,0.04763973598210264,0.46833333333333327,0.04490731195102494,0.14616666666666667,0.038051901689957916,0.027166666666666665,0.007975831548427341,0.009666666666666667,0.004389381125701739,0.0,0.0
4,0.33166666666666667,0.03473950680901116,0.4046666666666667,0.03233831576731643,0.14383333333333334,0.02597653855993048,0.11516666666666667,0.03340113936845734,0.004,0.0030203016773531453,0.0006666666666666668,0.0006324555320336759
5,0.2785,0.028099476072616644,0.3963333333333333,0.03265884260043518,0.18716666666666665,0.034821010579501814,0.13449999999999998,0.04304845461157049,0.0035000000000000005,0.0022906816064704894,0.0,0.0
6,0.26866666666666666,0.03945517850816431,0.35366666666666663,0.04224912885360938,0.16883333333333334,0.030378217707941836,0.2045,0.0534935354349788,0.004333333333333333,0.0018439088914585773,0.0,0.0
7,0.34199999999999997,0.03473294945405267,0.38383333333333336,0.02667609208427818,0.183,0.031232817498408443,0.09116666666666666,0.02234210026932214,0.0,0.0,0.0,0.0
8,0.32733333333333337,0.04172941941178243,0.34500000000000003,0.03279227551319568,0.21399999999999997,0.024839708353986585,0.09466666666666668,0.03196334706434162,0.018166666666666668,0.011620025817527259,0.0008333333333333333,0.0007905694150420946
9,0.3025,0.05834154704077627,0.4038333333333334,0.04954854521914173,0.1816666666666667,0.029156664951792945,0.0975,0.05196700341990525,0.014166666666666666,0.010922072452912343,0.0003333333333333334,0.00031622776601683794
10,0.29300000000000004,0.04381957959126896,0.3596666666666667,0.03746687425802513,0.19116666666666665,0.03451815142468927,0.12216666666666667,0.034702745648659494,0.033999999999999996,0.019436792145024567,0.0,0.0
11,0.29999999999999993,0.038355066303046734,0.33916666666666667,0.022291316196621898,0.25650000000000006,0.03613128069200488,0.1035,0.02982118001987476,0.0008333333333333333,0.0007905694150420948,0.0,0.0
12,0.32266666666666666,0.039800335006965296,0.29083333333333333,0.039877068041113,0.18583333333333335,0.030837612315698714,0.16949999999999998,0.050503602731774386,0.026999999999999996,0.011024719699132692,0.0041666666666666675,0.0026588426889239693
13,0.25383333333333336,0.03411748492749396,0.31433333333333335,0.05380220978526604,0.22566666666666668,0.0315288227922748,0.194,0.06800008169929732,0.012166666666666668,0.005071981861166304,0.0,0.0
14,0.24916666666666668,0.0279794071099125,0.36550000000000005,0.04801738689729424,0.2643333333333333,0.05028761720786185,0.121,0.054794667218220745,0.0,0.0,0.0,0.0
15,0.29100000000000004,0.04028936997935477,0.314,0.048378254986673044,0.22366666666666674,0.03168315360285687,0.11466666666666667,0.052645987501423124,0.05633333333333333,0.035594787383673034,0.0003333333333333334,0.000316227766016838
