Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,Control,0-10 min,1,0.5666666666666667,20.272727272727273,1.6771300448430493
Combined,Control,0-10 min,2,0.21924242424242424,13.272727272727273,0.9910958904109589
Combined,Control,0-10 min,0,0.1637878787878788,12.090909090909092,0.812781954887218
Combined,Control,0-10 min,3,0.0503030303030303,3.5454545454545454,0.8512820512820514
Combined,Control,11-30 min,3,0.1532456140350877,8.736842105263158,1.052409638554217
Combined,Control,11-30 min,2,0.3651754385964912,19.05263157894737,1.15
Combined,Control,11-30 min,1,0.3386842105263158,19.68421052631579,1.0323529411764705
Combined,Control,11-30 min,0,0.14114035087719298,13.789473684210526,0.6141221374045801
Combined,Control,11-30 min,4,0.0017543859649122807,0.15789473684210525,0.6666666666666666
