Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,1Per Formalin,0-10 min,1,0.3618181818181818,22.0,0.9867768595041323
Combined,1Per Formalin,0-10 min,0,0.3362121212121212,21.272727272727273,0.9482905982905983
Combined,1Per Formalin,0-10 min,2,0.15166666666666667,7.818181818181818,1.163953488372093
Combined,1Per Formalin,0-10 min,3,0.11106060606060605,4.818181818181818,1.383018867924528
Combined,1Per Formalin,0-10 min,4,0.039242424242424245,1.3636363636363635,1.7266666666666666
Combined,1Per Formalin,11-30 min,0,0.24201754385964913,16.157894736842106,0.8986970684039088
Combined,1Per Formalin,11-30 min,1,0.24605263157894736,18.57894736842105,0.7946175637393769
Combined,1Per Formalin,11-30 min,2,0.36578947368421055,15.0,1.463157894736842
Combined,1Per Formalin,11-30 min,3,0.14456140350877192,8.526315789473685,1.017283950617284
Combined,1Per Formalin,11-30 min,5,0.0015789473684210526,0.10526315789473684,0.9
