Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
0-10 min,1,0.5348484848484848,21.818181818181817,1.4708333333333334
0-10 min,0,0.15242424242424243,18.181818181818183,0.503
0-10 min,2,0.14,9.0,0.9333333333333333
0-10 min,4,0.05909090909090909,3.6363636363636362,0.975
0-10 min,3,0.11363636363636363,7.181818181818182,0.9493670886075949
11-30 min,2,0.20903508771929824,12.368421052631579,1.0140425531914894
11-30 min,0,0.16043859649122807,17.31578947368421,0.5559270516717325
11-30 min,1,0.49798245614035086,23.157894736842106,1.2902272727272726
11-30 min,3,0.11157894736842106,9.105263157894736,0.7352601156069364
11-30 min,4,0.020701754385964912,0.5263157894736842,2.36
11-30 min,5,0.0002631578947368421,0.05263157894736842,0.3
