Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,Control,0-10 min,0,0.2753030303030303,19.363636363636363,0.8530516431924883
Combined,Control,0-10 min,1,0.5746969696969697,22.09090909090909,1.5609053497942387
Combined,Control,0-10 min,2,0.0803030303030303,5.363636363636363,0.8983050847457628
Combined,Control,0-10 min,3,0.06893939393939394,1.8181818181818181,2.275
Combined,Control,0-10 min,4,0.00045454545454545455,0.09090909090909091,0.3
Combined,Control,0-10 min,5,0.00030303030303030303,0.09090909090909091,0.2
Combined,Control,11-30 min,1,0.4264912280701754,23.210526315789473,1.1024943310657596
Combined,Control,11-30 min,0,0.44456140350877194,20.63157894736842,1.292857142857143
Combined,Control,11-30 min,2,0.056578947368421055,3.8947368421052633,0.8716216216216216
Combined,Control,11-30 min,3,0.07201754385964912,1.5263157894736843,2.8310344827586205
Combined,Control,11-30 min,4,0.0003508771929824561,0.05263157894736842,0.4
