Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,Control,0-10 min,1,0.42454545454545456,19.181818181818183,1.3279620853080567
Combined,Control,0-10 min,2,0.19166666666666668,10.090909090909092,1.1396396396396395
Combined,Control,0-10 min,0,0.22984848484848486,15.454545454545455,0.8923529411764706
Combined,Control,0-10 min,3,0.12333333333333334,6.0,1.2333333333333334
Combined,Control,0-10 min,4,0.030606060606060605,0.6363636363636364,2.8857142857142857
Combined,Control,11-30 min,3,0.14175438596491227,6.368421052631579,1.3355371900826445
Combined,Control,11-30 min,2,0.19640350877192983,10.0,1.1784210526315788
Combined,Control,11-30 min,0,0.3439473684210526,20.210526315789473,1.02109375
Combined,Control,11-30 min,1,0.28114035087719297,21.36842105263158,0.789408866995074
Combined,Control,11-30 min,4,0.03675438596491228,0.631578947368421,3.4916666666666667
