Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,Control,0-10 min,1,0.43257575757575756,19.272727272727273,1.3466981132075473
Combined,Control,0-10 min,2,0.291969696969697,13.818181818181818,1.2677631578947368
Combined,Control,0-10 min,0,0.2056060606060606,15.454545454545455,0.798235294117647
Combined,Control,0-10 min,3,0.0693939393939394,5.0,0.8327272727272726
Combined,Control,0-10 min,5,0.00045454545454545455,0.09090909090909091,0.3
Combined,Control,11-30 min,1,0.2629824561403509,15.31578947368421,1.0302405498281788
Combined,Control,11-30 min,0,0.2736842105263158,15.105263157894736,1.0871080139372822
Combined,Control,11-30 min,2,0.2836842105263158,13.947368421052632,1.220377358490566
Combined,Control,11-30 min,3,0.17456140350877192,7.7894736842105265,1.3445945945945945
Combined,Control,11-30 min,5,0.005087719298245614,0.3157894736842105,0.9666666666666667
