Time_bin,still,still_SEM,walking,walking_SEM,rearing,rearing_SEM,grooming,grooming_SEM,licking hindpaw L,licking hindpaw L_SEM,licking hindpaw R,licking hindpaw R_SEM
0,0.08233333333333333,0.010440838621064454,0.6286666666666666,0.025116174514089963,0.0325,0.00856105523090855,0.09716666666666668,0.02174479503492988,0.15933333333333335,0.020859583462337457,0.0,0.0
1,0.13316666666666668,0.02192088045676998,0.42266666666666663,0.03051065387696567,0.058666666666666666,0.011212096642069722,0.09450000000000001,0.021298213279260982,0.29100000000000004,0.02796446157377451,0.0,0.0
2,0.23366666666666663,0.03933601685761056,0.4371666666666666,0.04110085833112923,0.10916666666666666,0.020347331247337792,0.14583333333333334,0.048172289175878326,0.07416666666666666,0.023997974451561068,0.0,0.0
3,0.40700000000000003,0.07910358890579984,0.3635,0.04497681501494841,0.10800000000000001,0.026236954430302648,0.09816666666666667,0.03543103630058445,0.023333333333333334,0.01070046727951635,0.0,0.0
4,0.35133333333333333,0.05641010547765355,0.35233333333333333,0.05864781894211127,0.08716666666666666,0.017042512203962835,0.17099999999999999,0.0568444270697567,0.03816666666666666,0.015852532219736308,0.0,0.0
5,0.392,0.06252945972366411,0.3436666666666667,0.04167586565121087,0.11266666666666665,0.019150282852567303,0.12116666666666667,0.041923905935502825,0.0305,0.013146714841020594,0.0,0.0
6,0.3933333333333333,0.047034857050678676,0.3991666666666667,0.03823338419060843,0.097,0.025836881476765817,0.07966666666666666,0.024927450286336503,0.03083333333333333,0.008492643875731514,0.0,0.0
7,0.36116666666666664,0.03968770450515988,0.36083333333333334,0.036541642911432796,0.15699999999999997,0.03713249550221777,0.08683333333333335,0.030774673930938006,0.034166666666666665,0.011740835669671141,0.0,0.0
8,0.43600000000000005,0.05258971171035051,0.3461666666666666,0.029824533152721395,0.11133333333333333,0.033305655175460316,0.08716666666666666,0.0355848360338439,0.019333333333333334,0.014702985335562904,0.0,0.0
9,0.41,0.06434499030831987,0.33766666666666667,0.04238920197933012,0.12533333333333335,0.036173040912935266,0.11299999999999999,0.06803585655944795,0.014000000000000002,0.005860413333924872,0.0,0.0
10,0.3466666666666667,0.0576902649210997,0.33466666666666667,0.0324369473834323,0.094,0.01911398557194298,0.21550000000000002,0.058298108412232756,0.009166666666666667,0.004144943371815296,0.0,0.0
11,0.39733333333333337,0.05586799918856351,0.369,0.0279932531553984,0.12916666666666668,0.03538930315473558,0.0975,0.048848547118164685,0.007000000000000001,0.002923088169119167,0.0,0.0
12,0.32383333333333336,0.04289395839353913,0.38449999999999995,0.05052779762995151,0.121,0.023465340871639224,0.13833333333333336,0.06444592910167234,0.031,0.014120906486483084,0.0013333333333333335,0.0012649110640673518
13,0.30799999999999994,0.061923698568839086,0.3456666666666667,0.04963376986600061,0.13816666666666666,0.03801056139782439,0.17283333333333334,0.07049194201388474,0.01566666666666667,0.008778762251403477,0.019666666666666666,0.014425671561490645
14,0.2805,0.03744481124119721,0.39633333333333337,0.03926958110293513,0.16683333333333333,0.03140899552675952,0.14133333333333337,0.05501050404745948,0.015,0.008003471469028646,0.0,0.0
15,0.2783333333333333,0.056117436387157486,0.3421666666666666,0.049870415411678026,0.15766666666666668,0.03711932710118065,0.207,0.07474764953569517,0.014166666666666666,0.006803797958983398,0.0006666666666666668,0.0006324555320336759
16,0.3275,0.0500056941202144,0.3948333333333333,0.03469105712491974,0.1715,0.03612359186029109,0.08133333333333333,0.0489125069213727,0.022166666666666668,0.010783346213284424,0.0026666666666666666,0.00170293863659264
17,0.39899999999999997,0.04349406089724588,0.3626666666666667,0.03389460789630771,0.13183333333333333,0.033273654910621266,0.07616666666666667,0.02617786384630258,0.029500000000000005,0.015572500691211345,0.0008333333333333333,0.0007905694150420948
18,0.39133333333333337,0.04921878593473114,0.36383333333333334,0.04125129627592865,0.13000000000000003,0.036416571319478536,0.07016666666666667,0.02521623154504521,0.044666666666666674,0.024766464781590804,0.0,0.0
19,0.30533333333333335,0.04414483737275138,0.37583333333333335,0.044555365059166054,0.12299999999999997,0.03336315332818527,0.10066666666666665,0.03592986996296474,0.09516666666666666,0.04564747163498398,0.0,0.0
20,0.298,0.040662431473453886,0.35266666666666674,0.055162990814091616,0.177,0.04003526223496259,0.1525,0.04920323498849779,0.019833333333333335,0.012945290864077006,0.0,0.0
21,0.269,0.0335792594716838,0.31766666666666665,0.058180848318936634,0.2181666666666667,0.06929704579241135,0.095,0.02680588658402396,0.10016666666666667,0.03966698179146535,0.0,0.0
22,0.3803333333333333,0.06001564610814231,0.30483333333333335,0.03425431846254327,0.12383333333333335,0.03170002628810687,0.09333333333333334,0.04934008962744641,0.09616666666666666,0.03744035998165022,0.0015,0.0014230249470757704
23,0.25650000000000006,0.04158421842745421,0.2971666666666667,0.056680414998872795,0.1405,0.0420680995529867,0.14500000000000002,0.04333974311568232,0.16083333333333333,0.060804902031917706,0.0,0.0
24,0.26749999999999996,0.038111860212916515,0.3765,0.04929753768924186,0.12883333333333336,0.03744035998165022,0.17333333333333337,0.05982520836199032,0.05383333333333333,0.023222414938062656,0.0,0.0
25,0.3958333333333333,0.08020468606426102,0.31566666666666665,0.05185621145693798,0.05566666666666666,0.013047349667014114,0.145,0.06466623711197537,0.08783333333333335,0.03674918744377592,0.0,0.0
26,0.42733333333333323,0.07310046359482118,0.33449999999999996,0.04073699519819518,0.14633333333333332,0.03579556148773508,0.07683333333333334,0.04179410511330781,0.014500000000000002,0.008144698343776222,0.0005,0.00047434164902525685
27,0.4806666666666667,0.08055784671071257,0.33716666666666667,0.04983865634892925,0.13933333333333334,0.03993828572518689,0.031,0.011676662384621918,0.011833333333333333,0.00869370781402018,0.0,0.0
28,0.3868333333333334,0.05991449926538836,0.3465,0.043000936682304446,0.11816666666666667,0.0370003378362955,0.03666666666666667,0.010596120883501554,0.11183333333333334,0.060049724765767615,0.0,0.0
29,0.3185,0.029304389128972166,0.3143333333333333,0.06017206808626222,0.08166666666666669,0.031889566388467,0.10266666666666668,0.029909307358524147,0.18283333333333335,0.06397527734297923,0.0,0.0
30,0.39266666666666666,0.04946615004222584,0.35283333333333333,0.049593374333450804,0.10783333333333334,0.03711547296389113,0.09616666666666666,0.03183643091386554,0.0505,0.03649052388406246,0.0,0.0
