Condition,Behavior,Bin,BinCenter,Probability
5Per Formalin,still,0,1.115233196382023,0.14968424645844
5Per Formalin,still,1,3.345699589146069,0.7543949479433351
5Per Formalin,still,2,5.5761659819101155,0.06588154975251749
5Per Formalin,still,3,7.806632374674161,0.01775046936337259
5Per Formalin,still,4,10.037098767438208,0.006656426011264721
5Per Formalin,still,5,12.267565160202253,0.0029015190305512885
5Per Formalin,still,6,14.4980315529663,0.0010240655401945725
5Per Formalin,still,7,16.728497945730346,0.0011947431302270011
5Per Formalin,still,8,18.95896433849439,0.0003413551800648575
5Per Formalin,still,9,21.189430731258437,0.00017067759003242875
5Per Formalin,walking,0,1.115233196382023,0.02974614546020869
5Per Formalin,walking,1,3.345699589146069,0.310387790063853
5Per Formalin,walking,2,5.5761659819101155,0.2790842547889737
5Per Formalin,walking,3,7.806632374674161,0.22332969942376577
5Per Formalin,walking,4,10.037098767438208,0.1023205108238592
5Per Formalin,walking,5,12.267565160202253,0.03550848777448996
5Per Formalin,walking,6,14.4980315529663,0.009655816850957795
5Per Formalin,walking,7,16.728497945730346,0.005450864351347142
5Per Formalin,walking,8,18.95896433849439,0.0028033016664071016
5Per Formalin,walking,9,21.189430731258437,0.0017131287961376733
5Per Formalin,rearing,0,1.115233196382023,0.04220623501199041
5Per Formalin,rearing,1,3.345699589146069,0.7592326139088729
5Per Formalin,rearing,2,5.5761659819101155,0.15635491606714627
5Per Formalin,rearing,3,7.806632374674161,0.028297362110311752
5Per Formalin,rearing,4,10.037098767438208,0.008633093525179856
5Per Formalin,rearing,5,12.267565160202253,0.0028776978417266188
5Per Formalin,rearing,6,14.4980315529663,0.0019184652278177458
5Per Formalin,rearing,7,16.728497945730346,0.0
5Per Formalin,rearing,8,18.95896433849439,0.00047961630695443646
5Per Formalin,rearing,9,21.189430731258437,0.0
5Per Formalin,grooming,0,1.115233196382023,0.037037037037037035
5Per Formalin,grooming,1,3.345699589146069,0.7083333333333334
5Per Formalin,grooming,2,5.5761659819101155,0.1574074074074074
5Per Formalin,grooming,3,7.806632374674161,0.05555555555555555
5Per Formalin,grooming,4,10.037098767438208,0.022486772486772486
5Per Formalin,grooming,5,12.267565160202253,0.010582010582010581
5Per Formalin,grooming,6,14.4980315529663,0.004629629629629629
5Per Formalin,grooming,7,16.728497945730346,0.001984126984126984
5Per Formalin,grooming,8,18.95896433849439,0.0013227513227513227
5Per Formalin,grooming,9,21.189430731258437,0.0006613756613756613
5Per Formalin,licking hindpaw L,0,1.115233196382023,0.00487012987012987
5Per Formalin,licking hindpaw L,1,3.345699589146069,0.19318181818181818
5Per Formalin,licking hindpaw L,2,5.5761659819101155,0.42207792207792205
5Per Formalin,licking hindpaw L,3,7.806632374674161,0.21753246753246752
5Per Formalin,licking hindpaw L,4,10.037098767438208,0.0698051948051948
5Per Formalin,licking hindpaw L,5,12.267565160202253,0.040584415584415584
5Per Formalin,licking hindpaw L,6,14.4980315529663,0.022727272727272728
5Per Formalin,licking hindpaw L,7,16.728497945730346,0.006493506493506494
5Per Formalin,licking hindpaw L,8,18.95896433849439,0.01461038961038961
5Per Formalin,licking hindpaw L,9,21.189430731258437,0.008116883116883116
5Per Formalin,licking hindpaw R,0,1.115233196382023,0.05555555555555555
5Per Formalin,licking hindpaw R,1,3.345699589146069,0.8888888888888888
5Per Formalin,licking hindpaw R,2,5.5761659819101155,0.05555555555555555
5Per Formalin,licking hindpaw R,3,7.806632374674161,0.0
5Per Formalin,licking hindpaw R,4,10.037098767438208,0.0
5Per Formalin,licking hindpaw R,5,12.267565160202253,0.0
5Per Formalin,licking hindpaw R,6,14.4980315529663,0.0
5Per Formalin,licking hindpaw R,7,16.728497945730346,0.0
5Per Formalin,licking hindpaw R,8,18.95896433849439,0.0
5Per Formalin,licking hindpaw R,9,21.189430731258437,0.0
