Condition,Behavior,MeanDisplacement,MedianDisplacement,StdDisplacement,Count
5Per Formalin,still,3.2452322894790746,2.9300388866638136,1.772454999866483,5864
5Per Formalin,walking,6.2143430018172285,5.75101616310424,3.4797893857748567,6442
5Per Formalin,rearing,3.768085256129745,3.344405044834093,1.9201952580850625,2088
5Per Formalin,grooming,5.2909458887676575,3.522930107275685,9.050923445240281,1546
5Per Formalin,licking hindpaw L,8.286389812386375,6.112471725371265,8.319434922675025,649
5Per Formalin,licking hindpaw R,2.980670065216694,2.6535285829241397,0.6755336913115257,18
